ACC0001,User1,1001,CURRENT,INR,10100,0,0,0,20000,IN
ACC0002,User2,1002,SAVINGS,INR,10200,0,0,0,20000,IN
ACC0003,User3,1003,CURRENT,INR,10300,0,0,0,20000,IN
ACC0004,User4,1004,SAVINGS,INR,10400,0,0,0,20000,IN
ACC0005,User5,1005,CURRENT,INR,10500,0,0,0,20000,IN
ACC0006,User6,1006,SAVINGS,INR,10600,0,0,0,20000,IN
ACC0007,User7,1007,CURRENT,INR,10700,0,0,0,20000,IN
ACC0008,User8,1008,SAVINGS,INR,10800,0,0,0,20000,IN
ACC0009,User9,1009,CURRENT,INR,10900,0,0,0,20000,IN
ACC0010,User10,1010,SAVINGS,INR,11000,0,0,0,20000,IN
ACC0011,User11,1011,CURRENT,INR,11100,0,0,0,20000,IN
ACC0012,User12,1012,SAVINGS,INR,11200,0,0,0,20000,IN
ACC0013,User13,1013,CURRENT,INR,11300,0,0,0,20000,IN
ACC0014,User14,1014,SAVINGS,INR,11400,0,0,0,20000,IN
ACC0015,User15,1015,CURRENT,INR,11500,0,0,0,20000,IN
ACC0016,User16,1016,SAVINGS,INR,11600,0,0,0,20000,IN
ACC0017,User17,1017,CURRENT,INR,11700,0,0,0,20000,IN
ACC0018,User18,1018,SAVINGS,INR,11800,0,0,0,20000,IN
ACC0019,User19,1019,CURRENT,INR,11900,0,0,0,20000,IN
ACC0020,User20,1020,SAVINGS,INR,12000,0,0,0,20000,IN
ACC0021,User21,1021,CURRENT,INR,12100,0,0,0,20000,IN
ACC0022,User22,1022,SAVINGS,INR,12200,0,0,0,20000,IN
ACC0023,User23,1023,CURRENT,INR,12300,0,0,0,20000,IN
ACC0024,User24,1024,SAVINGS,INR,12400,0,0,0,20000,IN
ACC0025,User25,1025,CURRENT,INR,12500,0,0,0,20000,IN
ACC0026,User26,1026,SAVINGS,INR,12600,0,0,0,20000,IN
ACC0027,User27,1027,CURRENT,INR,12700,0,0,0,20000,IN
ACC0028,User28,1028,SAVINGS,INR,12800,0,0,0,20000,IN
ACC0029,User29,1029,CURRENT,INR,12900,0,0,0,20000,IN
ACC0030,User30,1030,SAVINGS,INR,13000,0,0,0,20000,IN
ACC0031,User31,1031,CURRENT,INR,13100,0,0,0,20000,IN
ACC0032,User32,1032,SAVINGS,INR,13200,0,0,0,20000,IN
ACC0033,User33,1033,CURRENT,INR,13300,0,0,0,20000,IN
ACC0034,User34,1034,SAVINGS,INR,13400,0,0,0,20000,IN
ACC0035,User35,1035,CURRENT,INR,13500,0,0,0,20000,IN
ACC0036,User36,1036,SAVINGS,INR,13600,0,0,0,20000,IN
ACC0037,User37,1037,CURRENT,INR,13700,0,0,0,20000,IN
ACC0038,User38,1038,SAVINGS,INR,13800,0,0,0,20000,IN
ACC0039,User39,1039,CURRENT,INR,13900,0,0,0,20000,IN
ACC0040,User40,1040,SAVINGS,INR,14000,0,0,0,20000,IN
ACC0041,User41,1041,CURRENT,INR,14100,0,0,0,20000,IN
ACC0042,User42,1042,SAVINGS,INR,14200,0,0,0,20000,IN
ACC0043,User43,1043,CURRENT,INR,14300,0,0,0,20000,IN
ACC0044,User44,1044,SAVINGS,INR,14400,0,0,0,20000,IN
ACC0045,User45,1045,CURRENT,INR,14500,0,0,0,20000,IN
ACC0046,User46,1046,SAVINGS,INR,14600,0,0,0,20000,IN
ACC0047,User47,1047,CURRENT,INR,14700,0,0,0,20000,IN
ACC0048,User48,1048,SAVINGS,INR,14800,0,0,0,20000,IN
ACC0049,User49,1049,CURRENT,INR,14900,0,0,0,20000,IN
ACC0050,User50,1050,SAVINGS,INR,15000,0,0,0,20000,IN
